"","year","id","wrkstat","hrs1","hrs2","evwork","wrkslf","occ10","prestg10","indus10","marital","martype","divorce","widowed","spwrksta","sphrs1","sphrs2","spevwork","cowrksta","coevwork","cohrs1","cohrs2","spwrkslf","sppres80","spocc10","sppres10","spind10","coocc10","coind10","pawrkslf","paocc10","papres10","paind10","mawrkslf","maocc10","mapres10","maind10","sibs","childs","age","agekdbrn","educ","paeduc","maeduc","speduc","coeduc","codeg","degree","padeg","madeg","spdeg","major1","major2","dipged","sex","race","res16","reg16","mobile16","family16","famdif16","mawrkgrw","incom16","born","parborn","granborn","hompop","babies","preteen","teens","adults","unrelat","earnrs","income","rincome","income16","rincom16","region","xnorcsiz","srcbelt","size","partyid","vote16","pres16","if16who","polviews","natspac","natenvir","natheal","natcity","natcrime","natdrug","nateduc","natrace","natarms","nataid","natfare","natroad","natsoc","natmass","natpark","natchld","natsci","natenrgy","natspacy","natenviy","nathealy","natcityy","natcrimy","natdrugy","nateducy","natracey","natarmsy","nataidy","natfarey","eqwlth","tax","spkath","colath","libath","spkrac","colrac","librac","spkcom","colcom","libcom","spkmslm","colmslm","libmslm","cappun","gunlaw","courts","grass","relig","denom","other","jew","fund","attend","reliten","postlife","pray","popespks","relig16","denom16","oth16","jew16","fund16","sprel","spden","spother","spjew","spfund","corel","coden","coother","cojew","cofund","prayer","bible","racopen","raclive","affrmact","wrkwayup","happy","hapmar","hapcohab","health","life","helpful","fair","trust","confinan","conbus","conclerg","coneduc","confed","conlabor","conpress","conmedic","contv","conjudge","consci","conlegis","conarmy","obey","popular","thnkself","workhard","helpoth","socrel","socommun","socfrend","socbar","aged","weekswrk","partfull","joblose","jobfind","satjob","richwork","class","rank","satfin","finalter","finrela","wksub","wksubs","wksub1","wksubs1","wksup","wksups","wksup1","wksups1","unemp","union","union1","getahead","parsol","kidssol","fepol","abdefect","abnomore","abhlth","abpoor","abrape","absingle","abany","chldidel","pillok","sexeduc","divlaw","premarsx","teensex","xmarsex","homosex","pornlaw","xmovie","spanking","letdie1","suicide1","suicide2","suicide3","suicide4","polhitok","polabuse","polmurdr","polescap","polattak","fear","owngun","pistol","shotgun","rifle","rowngun","hunt","hunt1","news","tvhours","phone","coop","comprend","form","fechld","fepresch","fefam","racdif1","racdif2","racdif3","racdif4","helppoor","helpnot","helpsick","helpblk","god","reborn","savesoul","wlthwhts","wlthblks","wlthhsps","workwhts","workblks","workhsps","intlwhts","intlblks","intlhsps","liveblks","marblk","marasian","marhisp","marwht","racwork","discaff","yousup","spwksup","fejobaff","discaffm","discaffw","fehire","relpersn","sprtprsn","othlang","spklang","betrlang","letinhsp","letinasn","compuse","webmob","emailmin","emailhr","usewww","wwwhr","wwwmin","huclean","wrktype","yearsjob","waypaid","wrksched","moredays","mustwork","wrkhome","whywkhme","famwkoff","wkvsfam","famvswk","hrsrelax","secondwk","learnnew","workfast","workdiff","overwork","knowwhat","myskills","respect","trustman","safetywk","safefrst","teamsafe","safehlth","proudemp","prodctiv","wksmooth","trdunion","partteam","wkdecide","toofewwk","promteok","opdevel","hlpequip","haveinfo","wkfreedm","fringeok","supcares","condemnd","promtefr","cowrkint","jobsecok","suphelp","wrktime","cowrkhlp","manvsemp","hvylift","handmove","wkpraise","fairearn","rincblls","laidoff","jobfind1","trynewjb","wkageism","wkracism","wksexism","wkharsex","wkharoth","health1","physhlth","mntlhlth","hlthdays","usedup","backpain","painarms","hurtatwk","spvtrfair","strredpg","phyeffrt","slpprblm","satjob1","knowschd","usetech","stress12","hyperten","arthrtis","diabetes","depress","weight","height","ntwkhard","misswork","lifenow","lifein5","disrspct","poorserv","notsmart","afraidof","threaten","abmoral","abhelp1","abhelp2","abhelp3","abhelp4","workfor1","ownstock","stockops","extrapay","compperf","deptperf","indperf","extrayr","numemps","wrkslffam","nextgen","toofast","advfront","scientgo","scienthe","scientbe","buyvalue","compwage","empinput","slfmangd","emptrain","wealth","esop","defpensn","ratetone","posslq","posslqy","marcohab","healthissp","endsmeet","goodlife","famsuffr","homekid","housewrk","wrkbaby","wrksch","marlegit","marmakid","marpakid","marhomo","numkids","kidnofre","hubbywk1","meovrwrk","cohabok","laundry1","caresik1","shop1","cooking1","rhhwork","sphhwork","happy7","ssfchild","ssmchild","kidsocst","paidlv","paidlvdv","famwkbst","famwklst","careprov","carecost","eldhelp","eldcost","hhclean1","tiredhm1","jobvsfa1","tiredwk1","famvswk1","rfamlook","spfalook","stress","supervis","localnum","hapunhap","madenkid","relactiv","immcrime","immjobs","letin1a","partners","matesex","frndsex","acqntsex","pikupsex","paidsex","othersex","sexsex","sexfreq","numwomen","nummen","partnrs5","sexsex5","evpaidsx","evstray","condom","relatsex","evidu","idu30","evcrack","crack30","hivtest","hivtest1","hivtest2","sexornt","realinc","realrinc","coninc","conrinc","ethnic","eth1","eth2","eth3","hispanic","racecen1","racecen2","racecen3","uscitzn","fucitzn","yearsusa","mnthsusa","vetyears","dwelling","dwelown","dwelown16","worda","wordb","wordc","wordd","worde","wordf","wordg","wordh","wordi","wordj","wordsum","relate1","gender1","old1","mar1","away1","where1","relate2","gender2","old2","mar2","away2","where2","relate3","gender3","old3","mar3","away3","where3","relate4","gender4","old4","mar4","away4","where4","relate5","gender5","old5","mar5","away5","where5","relate6","gender6","old6","mar6","away6","where6","relate7","gender7","old7","mar7","away7","where7","relate8","gender8","old8","mar8","away8","where8","relate9","gender9","old9","mar9","away9","where9","relate10","gender10","old10","mar10","away10","where10","relate11","gender11","old11","mar11","away11","where11","relate12","gender12","old12","mar12","away12","where12","relate13","gender13","old13","mar13","away13","where13","relate14","away14","where14","relhhd1","relhhd2","relhhd3","relhhd4","relhhd5","relhhd6","relhhd7","relhhd8","relhhd9","relhhd10","relhhd11","relhhd12","relhhd13","relhhd14","respnum","hhtype","hhtype1","famgen","rplace","rvisitor","visitors","relhh1","relhh2","relhh3","relhh4","relhh5","relhh6","relhh7","relhh8","relhh9","relhh10","relhh11","relhh12","relhh13","relhh14","relsp1","relsp2","relsp3","relsp4","relsp5","relsp6","relsp7","relsp8","relsp9","relsp10","relsp11","relsp12","relsp13","relsp14","dateintv","sei10","pasei10","masei10","spsei10","cosei10","copres10","uswary","cohort","marcohrt","zodiac","whoelse1","whoelse2","whoelse3","whoelse4","whoelse5","whoelse6","mode","consent","adminconsent","letdie1y","ballot","version","issp","formwt","sampcode","sample","oversamp","spanself","spanint","spaneng","hlthstrt","huadd","huaddwhy","dwellpre","kidsinhh","respond","incuspop","neisafe","rlooks","rgroomed","rhlthend","vstrat","vpsu","famdif16y","pawrkslf2","mawrkslf2","ethworld1","ethworld2","ethworld3","ethworld4","ethworld5","ethworld6","ethworld7","ethworld8","ethworld9","ethregion1","ethregion2","ethregion3","ethregion4","ethregion5","ethregion6","ethregion7","ethregion8","ethregion9","ethregion10","ethregion11","ethregion12","ethregion13","ethregion14","ethregion15","ethregion16","ethregion17","ethregion18","ethregion19","ethregion20","ethregion21","ethregion22","ethregion23","ethregion24","ethregion25","ethregion26","ethregion27","ethregion28","ethregion29","ethregion30","ethregion31","ethregion32","ethregion33","ethregion34","ethregion35","ethregion36","ethregion37","ethregion38","ethregion39","ethregion40","ethregion41","ethregion42","ethregion43","ethregion44","ethregion45","ethregion46","ethregion47","ethregion48","ethregion49","ethregion50","ethregion51","ethregion52","ethregion53","ethregion54","ethregion55","ethregion56","ethregion57","ethregion58","ethregion59","ethregion60","ethregion61","ethregion62","ethregion63","ethregion64","ethregion65","ethregion66","ethregion67","ethregion68","ethregion69","ethregion70","ethregion71","ethregion72","ethregion73","ethregion74","ethregion75","ethregion76","ethregion77","ethregion78","ethregion79","ethregion80","ethregion81","ethregion82","ethregion83","ethregion84","ethregion85","ethregion86","ethregion87","ethregion88","ethregion89","ethregion90","ethregion91","ethregion92","ethregion93","ethregion94","ethregion96","wrkgovt1","wrkgovt2","spkathy","libathy","spkracy","libracy","spkcomy","colcomy","libcomy","spkmslmy","libmslmy","polhitoky","polabusey","polattaky","raceacs1","raceacs2","raceacs3","raceacs4","raceacs5","raceacs6","raceacs7","raceacs8","raceacs9","raceacs10","raceacs11","raceacs12","raceacs13","raceacs14","raceacs15","raceacs16","abdefectg","abnomoreg","abhlthg","abpoorg","abrapeg","absingleg","suicide1g","suicide2g","suicide3g","suicide4g","maborn","paborn","sexbirth1","sexnow1","hivafraid","hivimmrl","hivdscrm","ptnrornt","ptnrsxbrth","ptnrsxnow","conpharvacy","confedvacy","wtssps","wtssnrps","uswaryv","prayerv","courtsv","discaffwv","racopenv","getaheadv","divlawv","helpfulv","fairv","trustv","agedv","grassv","relitenv","biblev","postlifev","kidssolv","uscitznv","fucitznv","fepolv","uswarynv","prayernv","courtsnv","discaffwnv","racopennv","getaheadnv","divlawnv","helpfulnv","fairnv","trustnv","agednv","grassnv","relitennv","biblenv","postlifenv","kidssolnv","uscitznnv","fucitznnv","fepolnv","abanyg","fileversion","racerank1","racerank2","racerank3","racopeny","adoptus","immfate","vote20","pres20","if20who","wordk","wordl","wordn","fechld2","fepresch2","rspgndr","prntlk","prntfnce","prntcre","prntply","prntbhav","prntadvs","prntmdl","orginc","plan1","sharehhw","clsrltv","rsprltv1","rsprltv2","eldfnce","rlyrltv","frndfam","cabgndr","univgndr","execgndr","yrfnce","nmbrkids","conhlth","hlthbtr","hlthmore","hlthgov","hlthinf","hlthtax","hlthctzn","hlthdmg","hlthacc1","hlthacc2","hlthacc3","hlthacc4","hlthbeh","hlthenv","hlthgene","hlthpoor","altmed","doctrst","docskls","docearn","hlthweb","hlthwblif","hlthwbanx","hlthwbvax","webhltbeh","webdocexp","websympt","webdradv","webrely","vaxdoharm","immunbetr","hlthprb","hlthpain","hlthdep","hlthconf","hlthnot","docvst","docalt","medpay","medcommt","medwtlst","medbest","hlthsat","docsat1","altsat","smokeday","drinkday1","physact","frtvegs","disblty","weight_issp","shutbus","stayhome","mobilsurv","reqmasks","bangather","stockval1","stockyr","stockyrval","stockoptyr","stoptyramt","extr2021","extraval1","yearval1","numorg1","perfrt","chngtime","wrkmeangfl","strmgtsup","psysamephys","allorglevel","feelnerv","worry","feeldown","nointerest","svyenjoy","svyid1","svyid2","baselinestatus","amerstatus","yrlvmus","yrartxbt","yrmovie","artsout","yrcreat","yrrdg","yrtour","yrstmus","yrarmus","yrstpo","yrarpo","yrclass","yrpod","cvdlvmus","cvdart","cvdmov","cvdcreat","cvdrdg","cvdtour","cvdstmus","cvdarmus","cvdstpo","cvdarpo","cvdclass","cvdpod","neastatus","wrkwayup_next","blkmblty","blkdsrv","blktry","brv5","brv5sp","brv5par","brv5grand","brv5child","brv5sib","brv5oth","brv5spnum","brv5partnum","brv5dadnum","brv5momnum","brv5filnum","brv5milnum","brv5gmanum","brv5gpanum","brv5sonnum","brv5daunum","brv5chinum","brv5bronum","brv5sisnum","brv5silnum","brv5cuznum","brv5frndnum","brv5cowknum","brv5othnum","brv16","brv16sp","brv16par","brv16sib","brv16grand","brv16oth","brv16spnum","brv16partnum","brv16dadnum","brv16momnum","brv16filnum","brv16milnum","brv16gmanum","brv16gpanum","brv16bronum","brv16sisnum","brv16silnum","brv16cuznum","brv16frndnum","brv16othnum","gestate","abgender","abbelief","vaxhstncy","vaxkids","vaxsafe","fluvax","covid12","covemply","pandinc","pandmet","biokids","malekids","firstkidsex","nonbinkids","femself","mascself","nextstatus","worksick","fund_next","hompop_exp","modesequence","rheight","instype01","instype02","instype03","instype04","totalincentive","babies_exp","preteen_exp","teens_exp","adults_exp","childs_exp","childsinhh","respnumh","hefinfo1","famgen_exp","adultsinhh","hhtype1_exp","wtssps_nea","wtssnrps_nea","wtssps_next","wtssnrps_next","wtssps_as","wtssnrps_as"
"1",2022,1,1,40,NA,NA,2,430,39,6290,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,800,60,7280,2,2010,54,9480,1,1,72,27,16,16,16,NA,NA,NA,3,3,4,NA,44,NA,1,2,1,5,2,3,1,NA,1,4,1,0,4,1,0,0,0,1,NA,1,12,12,22,22,1,6,NA,10,0,1,1,NA,2,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,4,2,1,5,2,1,5,2,1,5,2,2,1,NA,NA,4,NA,NA,NA,3,2,NA,NA,6,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,2,2,NA,NA,NA,2,3,3,3,1,2,2,1,2,3,1,3,2,5,4,1,3,2,NA,NA,NA,NA,NA,52,1,NA,NA,3,2,3,NA,3,3,3,1,3,1,3,2,NA,2,NA,2,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,2,NA,NA,NA,NA,NA,NA,1,2,2,1,1,2,2,2,2,2,NA,4,4,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,18,1,1,5,2,6,1,1,2,3,4,2,2,3,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,3,2,3,2,1,1,1,1,1,3,1,2,1,1,3,1,1,2,1,1,3,1,2,3,3,2,2,2,2,2,3,30,15,0,4,2,1,0,1,2,4,1,2,5,100,NA,2,1,2,1,172,64,5,0,7,7,5,6,5,6,5,2,1,1,1,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,1,3,2,1,1,1,NA,3,2,1,2,9,NA,2,1,4,NA,3,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,NA,3,5,5,2,0,NA,NA,NA,NA,NA,NA,NA,0,0,25,0,NA,2,2,2,2,2,NA,2,NA,2,NA,NA,3,40900,40900,63300,63300,21,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,72,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019,67.7,76.3,62.9,NA,NA,NA,NA,1950,NA,1,2,2,2,2,2,2,3,NA,1,NA,3,NA,1,1,NA,10,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2661,1,NA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA,1,1,2,2,1,1,4,3,1,1,1,1,0.231094663493874,0.300990262611415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,NA,1,1,2,2,1,4,3,2,4,NA,NA,NA,1,7222.31,1,NA,NA,NA,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,5,2,2,3,2,1,5,4,1,3,3,3,3,4,2,3,3,4,4,4,3,3,3,2,2,2,5,5,3,4,4,3,3,3,1,2,1,2,2,3,1,8,2,1,2,5,2,172,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,3,4,4,2,2,2,2,2,2,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,5,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,5,1,1,1,1,2,3,4,1,0,2,2,5,NA,1,90,3,1,1,64,3,NA,NA,NA,177,NA,NA,NA,NA,NA,0,1,1,NA,1,NA,NA,NA,0.230979494417058,0.267499409257503,0.276424185904844,0.376261336045135
"2",2022,2,5,NA,NA,1,2,50,53,6695,1,NA,2,1,5,NA,NA,1,NA,NA,NA,NA,2,NA,2340,38,6695,NA,NA,2,8900,35,1370,NA,NA,NA,NA,3,2,80,24,18,12,12,16,NA,NA,4,1,1,3,9,NA,1,1,1,5,3,3,1,NA,2,2,1,0,NA,2,0,0,0,2,0,0,NA,NA,NA,NA,1,6,NA,10,3,1,1,NA,5,1,1,2,1,1,2,2,3,2,2,3,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,NA,4,2,1,5,2,1,5,2,1,2,NA,NA,2,NA,NA,NA,2,2,NA,NA,5,4,2,NA,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,5,NA,0,NA,NA,NA,NA,NA,3,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,4,1,2,3,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,NA,4,4,1,3,1,NA,NA,1,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,5,5,3,4,3,5,3,3,5,4,3,4,2,NA,2,NA,NA,3,2,NA,3,3,2,1,3,1,NA,NA,1,NA,0,7,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,3,NA,4,4,5,3,2,2,4,4,2,2,3,4,1,2,3,3,3,4,20,20,3,4,4,2,0,NA,NA,3,1,1,4,1,3,5,5,5,5,2,2,NA,NA,NA,NA,NA,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,1,1,NA,1,1,1,1,1,NA,1,NA,1,10,1,1,80,1,NA,NA,2,2,76,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1116,73.9,26.8,NA,59.1,NA,NA,NA,1942,NA,10,NA,NA,NA,NA,NA,NA,4,NA,1,NA,1,NA,1,1,NA,10,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2661,1,NA,1,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.576994223740722,0.741964891046645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,1,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,2,1,7222.31,1,NA,NA,NA,1,1,1,1,NA,1,1,1,3,2,3,2,5,NA,3,3,3,3,4,4,3,2,6,6,5,9,3,3,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,0,1,1,NA,2,NA,NA,NA,NA,NA,0.673530461148508,0.894114394519905
